,Catalog No.,Product,Imported Country,Other Info,Price,,Made in,Cruelty_free,Vegan,Ranking_In_Best_Seller_List,SunFilter_Ingredients
93,1091839037,Bellflower - Watermelon Fresh Sunscreen,South Korea,Translation reference for Korean beauty product packaging:,US$15.55,,,,,94,"[' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE']"
94,1104105761,ATOPALM - Mellomood Peach Tone Up Sun Cream,South Korea,,US$11.55,,,,,95,"[' ZINC OXIDE', ' TITANIUM DIOXIDE']"
95,1105364418,Kose - Sekkisei Skincare UV Gel SPF 50+ PA++++ 40g,,,US$21.61,,Japan,Yes,,96,"[' ETHYLHEXYL METHOXYCINNAMATE', ' POLYSILICONE-15']"
96,1105364409,Kose - Sekkisei Skincare UV Tone Up SPF 30 PA+++,,,US$28.58,,Japan,Yes,,97,[' ZINC OXIDE']
97,1067531058,KUMANO COSME - Reihaku Hatomugi UV Milky Gel SPF 31 PA+++ 250g,,,US$20.30,,Japan,,,98,[' OCTOCRYLENE']
98,1089050372,su:m37 - Sun-Away Velvet Sun Stick,South Korea,,US$28.18,,South Korea,,,99,"[' ETHYLHEXYL METHOXYCINNAMATE', ' OCTOCRYLENE', ' ETHYLHEXYL SALICYLATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE', ' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE']"
99,1112114457,I'M MEME - Purple Cotton Tone Control Sun Base,South Korea,Translation reference for Korean beauty product packaging:,US$14.14,,,,,100,"[' ETHYLHEXYL SALICYLATE', ' HOMOSALATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE', ' METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL', ' POLYSILICONE-15', ' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE']"
100,1088638743,daymellow - Amazon Belief Protection Andirova Sunblock Set,South Korea,,US$14.24,,South Korea,Yes,,101,"[' HOMOSALATE', ' ETHYLHEXYL METHOXYCINNAMATE', ' ETHYLHEXYL SALICYLATE', ' BUTYL METHOXYDIBENZOYLMETHANE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE', ' OCTOCRYLENE']"
101,1057699897,DAYCELL - Dr.VITA Vitamin Sun Cream SPF50+ PA+++ 50g,South Korea,,US$16.67,,South Korea,,,102,"[' ETHYLHEXYL METHOXYCINNAMATE', ' ETHYLHEXYL SALICYLATE', ' ZINC OXIDE', ' TITANIUM DIOXIDE']"
102,1088081550,CEZANNE - UV Make Keep Base SPF 28 PA+++,,,US$15.25,,Japan,Yes,,103,[' TITANIUM OXIDE']
